Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human papillomavirus infection	12/331	0.0013368239982746587	0.0024120954751477536	0	0	2.9579277346972446	19.573964411379084	IFNB1;WNT3A;EGF;IFNA2;WNT5A;SPP1;FAS;FASLG;TNF;EGFR;VEGFA;TNFRSF1A
Human immunodeficiency virus 1 infection	9/212	0.0018343576599584154	0.003274229801646204	0	0	3.4648669950738915	21.83233797347686	IFNB1;IFNA2;FAS;CYCS;FASLG;TNFRSF1B;TNF;TLR2;TNFRSF1A
Adipocytokine signaling pathway	5/69	0.002005400779456371	0.00354145244031657	0	0	6.05222687007874	37.5958967760975	LEP;ADIPOQ;TNFRSF1B;TNF;TNFRSF1A
Central carbon metabolism in cancer	5/70	0.0021372201530963785	0.003734511004357883	0	0	5.958812840702604	36.63626680667947	FLT3;KIT;MET;FGFR3;EGFR
p53 signaling pathway	5/73	0.0025705981337342336	0.0044449926062487795	0	0	5.695055581287633	33.96312840280905	IGFBP3;CYCS;FAS;TNFRSF10A;IGF1
Chronic myeloid leukemia	5/76	0.0030644127248203247	0.00524425270433169	0	0	5.453587667738716	31.56481643472242	TGFB2;TGFB1;TGFB3;TGFBR1;TGFBR2
Pathways of neurodegeneration	14/475	0.003750713038280899	0.006353248615863564	0	0	2.3898357607685154	13.349166850315562	APP;CSF1;WNT3A;WNT5A;FASLG;TNFRSF1B;TNF;TNFRSF1A;IL1A;IL6;IL1B;NEFL;FAS;CYCS
Dilated cardiomyopathy	5/96	0.008236344823817045	0.013810436775289186	0	0	4.250670589253266	20.399812437998126	TGFB2;TGFB1;TGFB3;IGF1;TNF
Inflammatory mediator regulation of TRP channels	5/98	0.008963355342531098	0.01479983656829076	0	0	4.158834984336635	19.607287675069095	IL1R1;IL1B;IL1RAP;IGF1;NGF
Basal cell carcinoma	4/63	0.009004719839743174	0.01479983656829076	0	0	5.2328348288467925	24.64668559927196	BMP4;BMP2;WNT3A;WNT5A
Phospholipase D signaling pathway	6/148	0.012757809001421606	0.020762708767019477	0	0	3.2732283026220563	14.276550940573932	KITLG;CXCL8;EGF;KIT;PDGFB;EGFR
Chemical carcinogenesis	8/239	0.012924702910737603	0.020830103720217884	0	0	2.6919163174143255	11.706107258009649	FGF6;FGF7;FGF9;EGF;FGF2;EGFR;VEGFA;FGF4
Adherens junction	4/71	0.013560817901894657	0.021645151651101088	0	0	4.606145741878841	19.809055330121524	MET;TGFBR1;EGFR;TGFBR2
Non-small cell lung cancer	4/72	0.01421618214701995	0.02247510701338392	0	0	4.538177623990773	19.30256841686843	EGF;HGF;MET;EGFR
PPAR signaling pathway	4/74	0.015586321514483453	0.024408767654757108	0	0	4.408067226890756	18.34356157957837	MMP1;ADIPOQ;OLR1;ANGPTL4
Glioma	4/75	0.016301450380280327	0.02529010058996761	0	0	4.345760839547086	17.889329688061377	EGF;PDGFB;IGF1;EGFR
Diabetic cardiomyopathy	7/203	0.016835500994168	0.025876788565110075	0	0	2.769982993197279	11.313345885311024	TGFB2;TGFB1;TGFB3;CMA1;MMP9;TGFBR1;TGFBR2
MicroRNAs in cancer	9/310	0.020109054080545263	0.030624797957527646	0	0	2.3250498338870433	9.083005069375309	TGFB2;PLAU;WNT3A;PDGFB;FGFR3;MMP9;MET;EGFR;VEGFA
ErbB signaling pathway	4/85	0.024591213318318025	0.03711037646218902	0	0	3.8073105785524084	14.107479481525015	EGF;NRG1;AREG;EGFR
Cholesterol metabolism	3/50	0.026916185017862245	0.04025303345013633	0	0	4.910405585106383	17.751251225236857	ANGPTL3;PCSK9;ANGPTL4
Staphylococcus aureus infection	4/95	0.03502969774076691	0.05191901629435096	0	0	3.3872010342598577	11.352404349615226	IL10;C5;ICAM1;MBL2
Melanogenesis	4/101	0.042352156307597706	0.062216442009391325	0	0	3.1767131594906	10.043928176410187	KITLG;WNT3A;WNT5A;KIT
Phagosome	5/152	0.04801852764095402	0.06992171568770497	0	0	2.6238684450158014	7.9665063274002454	CD209;OLR1;CD14;MBL2;TLR2
mTOR signaling pathway	5/154	0.05027687562947693	0.07257357699559279	0	0	2.588384505628072	7.7398133273620005	WNT3A;WNT5A;IGF1;TNF;TNFRSF1A
Leukocyte transendothelial migration	4/114	0.06095066446987176	0.08722250260343718	0	0	2.799429590017825	7.831937628842516	VCAM1;CXCL12;MMP9;ICAM1
Wnt signaling pathway	5/166	0.06511864369840338	0.0920668663999172	0	0	2.3939942289822467	6.539301494454202	MMP7;WNT3A;WIF1;WNT5A;CCN4
Prion disease	7/273	0.06544512189873632	0.0920668663999172	0	0	2.0337301587301586	5.545053381259765	IL1A;C5;IL6;IL1B;CCL5;CYCS;TNF
Primary immunodeficiency	2/38	0.08666153030582134	0.12088919353585162	0	0	4.259619541720709	10.417944065424509	CD40LG;TNFRSF13B
Gap junction	3/88	0.10611308388688288	0.1467897660435213	0	0	2.7099264705882353	6.079042350293734	EGF;PDGFB;EGFR
Type II diabetes mellitus	2/46	0.11945329805772462	0.16387807832712634	0	0	3.4837283339228864	7.40232976240497	ADIPOQ;TNF
Choline metabolism in cancer	3/98	0.13433061676142347	0.18277772444587126	0	0	2.4234375	4.864932586635146	EGF;PDGFB;EGFR
Ovarian steroidogenesis	2/51	0.14126075833903637	0.19064460068520356	0	0	3.1274517589136823	6.12088516263285	IGF1;BMP6
Insulin resistance	3/108	0.16480536388551498	0.22062653552415715	0	0	2.1915178571428573	3.9512850314938075	IL6;TNF;TNFRSF1A
Endometrial cancer	2/58	0.1730285591896885	0.22978192660390637	0	0	2.7355475264035576	4.7989672398115495	EGF;EGFR
VEGF signaling pathway	2/59	0.1776594416258747	0.2340592643642476	0	0	2.6874189364461736	4.643555734794111	KDR;VEGFA
Phenylalanine metabolism	1/17	0.1988256063387152	0.2598822886002104	0	0	4.778343023255814	7.718587401604732	MIF
Growth hormone synthesis, secretion and action	3/119	0.2003966531475349	0.2598894095507093	0	0	1.9825902478448276	3.18692780034926	GH1;IGFBP3;IGF1
AMPK signaling pathway	3/120	0.20372026722578557	0.2621516617013985	0	0	1.9655448717948718	3.1271965642816975	LEP;ADIPOQ;IGF1
Axon guidance	4/182	0.2108200517813199	0.2692009891976854	0	0	1.7239920687376074	2.683825246985451	CXCL12;WNT5A;BMP7;MET
Cell cycle	3/124	0.2171385982478266	0.27515272755068104	0	0	1.900180785123967	2.9019930112250796	TGFB2;TGFB1;TGFB3
Endocytosis	5/252	0.22902311062813274	0.28801391185053055	0	0	1.553603876438522	2.2899070292638664	IL2RA;FGFR3;EGFR;TGFBR1;TGFBR2
Renin-angiotensin system	1/23	0.25915277036142964	0.3234538336841904	0	0	3.4741014799154333	4.69120966075525	CMA1
Antigen processing and presentation	2/78	0.26797258686815706	0.3319660404486125	0	0	2.0136186770428015	2.651675218309754	IFNG;TNF
Cushing syndrome	3/155	0.32528668663364074	0.3999821480087731	0	0	1.51025390625	1.6960881918779853	WNT3A;WNT5A;EGFR
Amyotrophic lateral sclerosis	6/364	0.3331439158984241	0.4066315444054295	0	0	1.2840108640448693	1.4113599635448213	NEFL;CYCS;NRG1;TNFRSF1B;TNF;TNFRSF1A
Tyrosine metabolism	1/36	0.37478382910630725	0.4541176323477884	0	0	2.182281284606866	2.141703673490717	MIF
Longevity regulating pathway	2/102	0.38157756047214475	0.4572702450362827	0	0	1.5284824902723735	1.4726029204352864	ADIPOQ;IGF1
Aldosterone-regulated sodium reabsorption	1/37	0.3828949642171283	0.4572702450362827	0	0	2.121554694229113	2.0366809912495563	IGF1
Parathyroid hormone synthesis, secretion and action	2/106	0.39988373819666967	0.4741478610046226	0	0	1.4693953906016164	1.3468205263409792	MMP13;EGFR
Neutrophil extracellular trap formation	3/189	0.4439556475279314	0.5226711878697632	0	0	1.2320438508064515	1.0004573252547242	C5;ELANE;TLR2
Proteasome	1/46	0.4513363092886132	0.5274015275247357	0	0	1.6964685615848407	1.3496128754367769	IFNG
Sphingolipid signaling pathway	2/119	0.45750493953952975	0.5274015275247357	0	0	1.3052645581828461	1.0206745906864996	TNF;TNFRSF1A
Neurotrophin signaling pathway	2/119	0.45750493953952975	0.5274015275247357	0	0	1.3052645581828461	1.0206745906864996	FASLG;NGF
Endocrine and other factor-regulated calcium reabsorption	1/53	0.49929443579879995	0.5716060437420745	0	0	1.4675760286225403	1.0193185872696795	CALB1
Apelin signaling pathway	2/137	0.5317382052018288	0.6004662725408406	0	0	1.1301916702694912	0.7138335867663697	SPP1;TGFBR1
Estrogen signaling pathway	2/137	0.5317382052018288	0.6004662725408406	0	0	1.1301916702694912	0.7138335867663697	MMP9;EGFR
Notch signaling pathway	1/59	0.5370625839648838	0.6023810063389914	0	0	1.3153568564554932	0.8176792880296279	ADAM17
Long-term depression	1/60	0.5430753454936134	0.6050369620935558	0	0	1.292996978058074	0.7893839787234161	IGF1
GnRH secretion	1/64	0.5663583739815269	0.6267699338728898	0	0	1.2106558385628152	0.6882920229350699	SPP1
Bacterial invasion of epithelial cells	1/77	0.634169412813722	0.697166374351509	0	0	1.002906976744186	0.45676309861037484	MET
ECM-receptor interaction	1/88	0.6832235403395214	0.7461520243181615	0	0	0.8756125813062461	0.3335498860089596	SPP1
Small cell lung cancer	1/92	0.6993874133575699	0.7581007847129096	0	0	0.8369537439304882	0.2992531884896304	CYCS
GnRH signaling pathway	1/93	0.703298318348121	0.7581007847129096	0	0	0.827814290529154	0.2913692120272728	EGFR
Progesterone-mediated oocyte maturation	1/100	0.7292914958406512	0.7810476665132137	0	0	0.7690079085427922	0.24276177753960482	IGF1
Protein digestion and absorption	1/103	0.7397248608732779	0.7871431211856675	0	0	0.7462760297917617	0.2249850374041913	DPP4
Serotonergic synapse	1/113	0.7716943619682634	0.8159316183868263	0	0	0.6792981727574751	0.17605147358481457	APP
Thyroid hormone signaling pathway	1/121	0.7944284088806065	0.8346526321150677	0	0	0.6337532299741602	0.14584715528188738	BMP4
Oocyte meiosis	1/129	0.8149065078711685	0.8507828950101507	0	0	0.5939014050387597	0.1215608600317638	IGF1
Neuroactive ligand-receptor interaction	3/341	0.8210256256649947	0.8518140866274321	0	0	0.6727186575443787	0.1326607632412568	GH1;C5;LEP
Spinocerebellar ataxia	1/143	0.8459733327299569	0.8722457964793344	0	0	0.5349656075990828	0.08948232845675369	CYCS
Oxytocin signaling pathway	1/154	0.8666908155464847	0.8880905887698548	0	0	0.49622536353042507	0.07099644148050598	EGFR
Viral carcinogenesis	1/203	0.9300195452854898	0.9471364694318484	0	0	0.3749136541561133	0.027199864369323725	LTBR
Thermogenesis	1/232	0.9522464563127365	0.963859217975087	0	0	0.3273599785227692	0.016018180420762463	FGF21
Parkinson disease	1/249	0.96184076517417	0.9676701031449226	0	0	0.30465428857214305	0.011852991493549545	CYCS
Huntington disease	1/306	0.9820361427871565	0.9820361427871565	0	0	0.24699453551912567	0.004477310952062824	CYCS
